	studio	location	ratings
0	DEFIN8 Fitness - Wellington Street	8th and 9th Floor, Yu Wing Building, 66 Wellington Street, Central, Hong Kong	4.8
1	XP Fitness Hub	4F, 9 Li Yuen St East, Central, Hong Kong	4.7
2	Prajna Yoga	Shop 2 , 3/F, Sing Shun Centre, Lai Chi Kok, Kowloon, Hong Kong	4.8
3	O'Pine Studio	Shop 2, 88 Second Street, Sai Ying Pun, Hong Kong	4.8
4	Busybody Fitness Centre	Unit 320 â€“ 321 Corporation Park, 11 On Lai St, Shatin	4.7
5	MOVE Studio	7/F, Parekh House, 63 Wyndham St, Central, Hong Kong	4.8
6	Studio Chrome	10E, New East Sun Industrial Building, 18 Shing Yip St, Kwun Tong, Hong Kong	4.8
7	Miga Studio	Shop C, 17/F, Yun Kei Commercial Building, 682 Shanghai Street, Mong Kok, Kowloon, Hong Kong	4.6
8	Flying Fairy	Rm 2308, 23/F, 22 Hoi Wing Rd, Tuen Mun Central Square,  Tuen Mun, N.T., Hong Kong	4.6
9	CHASER Dance & Fitness Studio	3 On Kwan Street, New Territories	4.9
10	Jazzy Pixie Studio	77 Wing Hong Street, Kowloon	4.7
11	Aurora Dance Studio	Billion Plaza 2, 10 Cheung Yue Street Unit 18-B, Hong Kong	4.8
12	The Warehouse Dance Studio	822 Lai Chi Kok Road, East Wing, 8/F, (LCK MTR Exit D2, next to D2 Place), Hong Kong	4.6
13	M48 Wellness Lab	190 Prince Edward Rd W, 1-2/F, Mong Kok, Hong Kong	4.7
14	Aerial Arts Academy	Unit 502, 5/F, The Hennessy, 256 Hennessy Rd, Wan Chai, Hong Kong	4.7
15	B Squared Yoga and Dance	502, CCT Telecom Building, 11 Wo Shing Street, Fo Tan, Hong Kong	4.5
16	For Yogi	Unit 8, 6/F, W668, 668-680 Castle Peak Rd, Lai Chi Kok, Hong Kong	4.8
17	SHBJJ	No. 1-3, Ping On Lane, Hong Kong	4.9
18	FLYE Fitness	4/F, Fung Woo Building, 279 Des Voeux Road Central Sheung Wan, Hong Kong	4.8
19	Oasis Dance Centre	1 Anton Street, 4th Floor, Anton Building, Wanchai, Hong Kong	4.6
20	DANCE@CENTRAL	15/F Man On Commercial Building, 12-13 Jubilee Street, Central, Hong Kong	4.5
21	Coco & the Sun	18/F, Nan Dao Commercial Building, 361 Queen's Road Central, Sheung Wan, Hong Kong, Hong Kong	4.8
22	Fly Arts HK	Shop 3, Pak Kung Street 8 ,Hung Hom, Hong Kong	4.7
23	Dee Dream Life	70 Robinson Road, Hong Kong	4.8
24	M Program	The WaterSide Mall, Ma On Shan New Territories, Shop 17-23, 15 On Chun Street , 1/F, Hong Kong	4.6
25	OTROTango Dance Company	Room 1901, 19/F, Sunbeam Commercial Building, 469-471 Nathan Rd., Yau Ma Tei, Kowloon, Hong Kong	4.5
26	Fitness in Motion	Shop 105, 9 Yi Tung Road, T-Bay, Tung Chung, Lantau Island, Hong Kong	4.5
27	Joneestic Studio HK	Room 1102, K83, No. 83 Tai Lin Pai Road, Kwai Chung, New Territories, Hong Kong	4.7
28	Bungee Workout	33 Tseuk Luk Street, Unit 903, Port 33, Hong Kong	4.7
29	SWCircle Dance & Yoga	SWCircleDance & Yoga, 7B Cheong Tai Commercial Building, 60 Wing Lok Street, Sheung Wan, Hong Kong	4.6
30	Dee Dream Life	Olympic Square in HK Park, 19 Cotton Tree Drive, Hong Kong	4.7
31	XO Pole Studio	Unit 1801-03, 650 Cheung Sha Wan Road, Lai Chi Kok, Hong Kong	4.5
32	WEHAB Rehabilitation & Exercising Specialist Centre	4/F, Kundamal House, 2-4 Prat Avenue, Tsim Sha Tsui, Hong Kong	
33	Oasis Dance Centre	506-508 Jaffe Road, Causeway Bay, Hong Kong	
